id,cable_id,description,name,color,coordinates,length,rfs,owners,url,col10
gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system,1598,"[{""latlon"":""25.538584,51.451886"",""name"":""Al Daayen, Qatar"",""landing_point_id"":10232},{""latlon"":""26.241586,50.656183"",""name"":""Al Hidd, Bahrain"",""landing_point_id"":10233},{""latlon"":""26.286167,50.214191"",""name"":""Al Khobar, Saudi Arabia"",""landing_point_id"":7729},{""latlon"":""23.684703,58.176102"",""name"":""Al Seeb, Oman"",""landing_point_id"":7646},{""latlon"":""29.923299,48.531770"",""name"":""Al-Faw, Iraq"",""landing_point_id"":9596},{""latlon"":""28.970015,50.842707"",""name"":""Bushehr, Iran"",""landing_point_id"":9683},{""latlon"":""25.121690,56.333720"",""name"":""Fujairah, United Arab Emirates"",""landing_point_id"":5962},{""latlon"":""29.374019,47.974739"",""name"":""Kuwait City, Kuwait"",""landing_point_id"":3871},{""latlon"":""19.075794,72.875899"",""name"":""Mumbai, India"",""landing_point_id"":3212}]",Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System,#f4878f,"<MultiGeometry><LineString><coordinates>49.3266017919164,29.0104998362535,0 49.1404691112746,28.8466520709174,0</coordinates></LineString><LineString><coordinates>56.3337257342541,25.121693117297,0 56.6970067269024,25.7458204492871,0 56.5044287383265,26.4870194046308,0 56.1305032219688,26.4870194046308,0 55.3114608334361,25.9889610098139,0 52.503357353973,26.0417933104937,0 51.4519909112708,25.5389306356431,0 52.0410529939737,26.4027294202647,0 51.7334360243925,26.6904941054604,0 50.7403703216395,27.6676270555036,0 49.1404691112746,28.8466520709174,0 47.9748449370137,29.3741013448043,0</coordinates></LineString><LineString><coordinates>56.3337257342541,25.121693117297,0 57.0989595671553,25.4228278203001,0 56.6290380250521,26.7573083930514,0 56.0961282463204,26.7573083930514,0 55.257456965443,26.2485925873152,0 53.8685907618288,26.2964048220678,0 49.3266017919164,29.0104998362535,0 48.531778136227,29.9236335994195,0</coordinates></LineString><LineString><coordinates>58.1762048977746,23.6848788194835,0 58.2405603209346,24.1068403317564,0</coordinates></LineString><LineString><coordinates>50.6561906937732,26.2415854778486,0 51.7334360243925,26.6904941054604,0</coordinates></LineString><LineString><coordinates>50.2141988193844,26.2853729777273,0 50.7403703216395,27.6676270555036,0</coordinates></LineString><LineString><coordinates>50.8427139991383,28.9703524704141,0 50.3802143267774,28.3869872713082,0</coordinates></LineString><LineString><coordinates>56.3337257342541,25.121693117297,0 58.2405603209346,24.1068403317564,0 60.0151684387855,23.1449553418408,0 69.1429940037983,21.2673698491664,0 72.8759015156215,19.0760738142769,0</coordinates></LineString></MultiGeometry>",n.a.,February 2012,"Gulf Bridge International,  MENA",http://www.gbiinc.com,
hannibal-system,1621,"[{""latlon"":""36.849308,11.089906"",""name"":""Kelibia, Tunisia"",""landing_point_id"":6015},{""latlon"":""37.650126,12.591272"",""name"":""Mazara del Vallo, Italy"",""landing_point_id"":3215}]",HANNIBAL System,#ffd633,"<MultiGeometry><LineString><coordinates>11.0908866909557,36.849935743637,0 11.6601245689523,36.4266307478934,0 12.5913739092465,37.6505844408328,0</coordinates></LineString></MultiGeometry>",178 km,October 2009,Tunisia Telecom,http://www.tunisietelecom.tn,
hantru1-cable-system,1605,"[{""latlon"":""9.189776,167.424365"",""name"":""Kwajalein, Republic of Marshall Islands"",""landing_point_id"":7879},{""latlon"":""7.116242,171.185691"",""name"":""Majuro, Republic of Marshall Islands"",""landing_point_id"":9060},{""latlon"":""13.464688,144.694688"",""name"":""Piti, Guam"",""landing_point_id"":5973},{""latlon"":""7.786407,159.070267"",""name"":""Pohnpei, Federated States of Micronesia"",""landing_point_id"":9062}]",HANTRU1 Cable System,#6c70b5,"<MultiGeometry><LineString><coordinates>159.081797477806,7.72805154480668,0 157.676720348176,10.8122294862927,0</coordinates></LineString><LineString><coordinates>164.799762177146,9.62301850633581,0 171.19624202082,7.077759911966,0</coordinates></LineString><LineString><coordinates>144.694698294762,13.464777824933,0 146.162275380117,12.7269658104139,0 167.405815018494,9.18648701308585,0</coordinates></LineString></MultiGeometry>","2,917 km",March 2010,"Hannon Armstrong,  Federated States of Micronesia Telecommunications Company,  Marshall Islands Telecommunications Authority",,
hawaiki-cable,1733,"[{""latlon"":""21.335424,-158.056895"",""name"":""Kapolei, HI, United States"",""landing_point_id"":16358},{""latlon"":""-36.126145,174.574459"",""name"":""Mangawhai, New Zealand"",""landing_point_id"":16442},{""latlon"":""45.201929,-123.962630"",""name"":""Pacific City, OR, United States"",""landing_point_id"":3730},{""latlon"":""-14.276546,-170.695705"",""name"":""Pago Pago, American Samoa"",""landing_point_id"":9070},{""latlon"":""-33.869872,151.206990"",""name"":""Sydney, Australia"",""landing_point_id"":3030}]",Hawaiki Cable,#9ea0a2,"<MultiGeometry><LineString><coordinates>-174.142332460408,-11.9368747331594,0 -172.078224120396,-12.8942105931659,0 -170.695704805596,-13.7914752595328,0 -170.695704805596,-14.2765492583146,0</coordinates></LineString><LineString><coordinates>-158.056893873795,21.3354262808963,0 -147.027803176164,41.390035337747,0 -139.250217743495,41.390035337747,0 -123.962539364446,45.2022344672203,0</coordinates></LineString><LineString><coordinates>-158.056893873795,21.3354262808963,0 -179.99989595104,-23.6559274822861,0</coordinates></LineString><LineString><coordinates>179.999946721693,-23.7469561372432,0 165.579253812447,-33.983322414006,0</coordinates></LineString><LineString><coordinates>174.574462283907,-36.1261519263881,0 174.738427011503,-35.1902011168914,0 173.096240674843,-33.9707701244135,0 151.822622932773,-34.0059118644333,0 151.206998368888,-33.8695553643754,0</coordinates></LineString></MultiGeometry>","10,200 km",Q2 2018,Hawaiki Cable Company,http://hawaikicable.co.nz,
hawk,1523,"[{""latlon"":""31.191889,29.889787"",""name"":""Alexandria, Egypt"",""landing_point_id"":6044},{""latlon"":""43.293165,5.372623"",""name"":""Marseille, France"",""landing_point_id"":3210},{""latlon"":""34.766411,32.466544"",""name"":""Yeroskipos, Cyprus"",""landing_point_id"":5811}]",Hawk,#38bced,"<MultiGeometry><LineString><coordinates>32.4666527981625,34.7665718254425,0 29.6456587028312,32.8418609237695,0 28.2563042183129,32.4408135240621,0</coordinates></LineString><LineString><coordinates>5.37253136689231,43.2936266517659,0 8.20270514322065,37.2729303137906,0 11.2032889550789,37.268034370893,0 11.4534840903383,37.045361124825,0 11.1674491367182,36.736697562638,0 11.2520193893078,36.2978167720972,0 13.1451821106736,34.700281202716,0 17.2818979301853,34.1496222824717,0 17.3827767649718,33.9786008871625,0 28.2563042183129,32.4408135240621,0 29.8935100897509,31.1914686865294,0</coordinates></LineString></MultiGeometry>","3,400 km",2011,Global Cloud Xchange,http://www.globalcloudxchange.com,
hibernia-atlantic,1080,"[{""latlon"":""55.130733,-6.676187"",""name"":""Coleraine, United Kingdom"",""landing_point_id"":9038},{""latlon"":""53.348043,-6.248257"",""name"":""Dublin, Ireland"",""landing_point_id"":3077},{""latlon"":""44.645801,-63.573950"",""name"":""Halifax, Nova Scotia, Canada"",""landing_point_id"":3640},{""latlon"":""42.463673,-70.950265"",""name"":""Lynn, Massachusetts, United States"",""landing_point_id"":3683},{""latlon"":""53.647933,-3.006364"",""name"":""Southport, United Kingdom"",""landing_point_id"":3324}]",Hibernia Atlantic,#895c3c,"<MultiGeometry><LineString><coordinates>-6.67619056643006,55.1309306834594,0 -6.67619056643006,55.415759933992,0</coordinates></LineString><LineString><coordinates>-70.9634497122325,42.445223723708,0 -64.3338157368524,43.0081821754538,0 -63.572488151184,44.6532314837152,0 -62.5562291054865,44.0484660176733,0 -53.3378274327637,46.1693466694206,0 -24.6332579236,54.9316234227869,0 -15.6498170219289,55.7089501651969,0 -7.43117050034519,55.7089501651969,0 -6.67619056643006,55.415759933992,0 -6.04367148326249,55.3594570481599,0 -4.83068406130417,54.177233091539,0 -4.95509803566816,53.9226227070048,0 -3.00636894741611,53.6479307129575,0 -6.24831001016966,53.3481255653311,0 -5.39298835046253,53.163863229736,0 -5.17135764809282,52.0346454828431,0 -7.88326978944879,50.9192526270457,0 -24.6332579236,50.1031947365989,0 -53.3378274327637,43.3294398947767,0 -62.5562291054865,43.9045764861256,0 -63.572488151184,44.6532314837152,0</coordinates></LineString></MultiGeometry>","12,200 km",April 2001,Hibernia Networks,http://www.hibernianetworks.com,
hibernia-express,1673,"[{""latlon"":""51.293735,-3.010905"",""name"":""Brean, United Kingdom"",""landing_point_id"":5736},{""latlon"":""51.898337,-8.472768"",""name"":""Cork, Ireland"",""landing_point_id"":3522},{""latlon"":""44.645801,-63.573950"",""name"":""Halifax, Nova Scotia, Canada"",""landing_point_id"":3640}]",Hibernia Express,#548f51,"<MultiGeometry><LineString><coordinates>-8.47272249687495,51.8986058541976,0 -8.32291791549793,51.7440772529508,0 -7.8532405138468,50.8188877466607,0</coordinates></LineString><LineString><coordinates>-3.01086113173381,51.2936449184817,0 -4.34406331228087,51.3974333232189,0 -7.8532405138468,50.8188877466607,0 -24.6332579236,49.4574884568368,0 -53.3378274327637,42.5976666318378,0 -62.5562291054865,43.7603383154212,0 -63.5758084613319,44.6461798491667,0</coordinates></LineString></MultiGeometry>","4,600 km",September 2015,Hibernia Networks,http://www.hibernianetworks.com,
high-capacity-undersea-guernsey-optical-fibre-hugo,1697,"[{""latlon"":""48.730260,-3.459928"",""name"":""Lannion, France"",""landing_point_id"":5837},{""latlon"":""49.509544,-2.537614"",""name"":""Pembroke, United Kingdom"",""landing_point_id"":10373},{""latlon"":""50.043052,-5.654507"",""name"":""Porthcurno, United Kingdom"",""landing_point_id"":3082},{""latlon"":""49.423326,-2.558025"",""name"":""Saints Bay, United Kingdom"",""landing_point_id"":10374}]",High-capacity Undersea Guernsey Optical-fibre (HUGO),#0982c5,"<MultiGeometry><LineString><coordinates>-2.53757045139237,49.509544233353,0 -5.65451160269701,49.9203845098755,0 -5.65451160269701,50.0431505710453,0</coordinates></LineString><LineString><coordinates>-2.55822473363567,49.4268508976282,0 -2.55822473363567,49.37400777496,0 -3.45988425114161,48.8734149332158,0 -3.45988425114161,48.7305546797012,0</coordinates></LineString></MultiGeometry>",425 km,2007,Sure,,
hokkaido-sakhalin-cable-system-hscs,1528,"[{""latlon"":""43.171180,141.315393"",""name"":""Ishikari, Japan"",""landing_point_id"":7834},{""latlon"":""46.684448,141.859143"",""name"":""Nevelsk, Russia"",""landing_point_id"":8366}]",Hokkaido-Sakhalin Cable System (HSCS),#91a34b,"<MultiGeometry><LineString><coordinates>141.315403813686,43.1711767474143,0 140.589232453113,45.7041997306265,0 141.85934874085,46.6848512294999,0</coordinates></LineString></MultiGeometry>",570 km,July 2008,"NTT,  TTK",,
honotua,1556,"[{""latlon"":""-16.730061,-151.000059"",""name"":""Huahine, French Polynesia"",""landing_point_id"":14804},{""latlon"":""20.039990,-155.831406"",""name"":""Kawaihae, Hawaii, United States"",""landing_point_id"":8973},{""latlon"":""-17.538776,-149.829558"",""name"":""Moorea, French Polynesia"",""landing_point_id"":14798},{""latlon"":""-17.512336,-149.441078"",""name"":""Papenoo, French Polynesia"",""landing_point_id"":8974},{""latlon"":""-16.730915,-151.443027"",""name"":""Uturoa, French Polynesia"",""landing_point_id"":14799},{""latlon"":""-16.506330,-151.749528"",""name"":""Vaitape, French Polynesia"",""landing_point_id"":14800}]",Honotua,#7ac252,"<MultiGeometry><LineString><coordinates>-155.856355271544,20.0037440865784,0 -156.291465436941,18.7014035933018,0 -149.441079664818,-17.5121533525284,0 -149.57481980445,-17.3544157802532,0 -149.829510175783,-17.5383210307893,0 -149.724380245375,-17.3230010948172,0 -150.675600274647,-16.7296000560419,0 -150.999968330995,-16.7296000560419,0 -150.928380246943,-16.3846589791153,0 -151.144639859367,-16.3846589791153,0 -151.442979491771,-16.7305352815141,0 -151.373988451777,-16.3194396201773,0 -151.749479518784,-16.5058564553357,0</coordinates></LineString></MultiGeometry>","4,805 km",September 2010,OPT French Polynesia,http://www.opt.pf,
i2i-cable-network-i2icn,1179,"[{""latlon"":""13.063480,80.243083"",""name"":""Chennai, India"",""landing_point_id"":4191},{""latlon"":""1.338193,103.647076"",""name"":""Tuas, Singapore"",""landing_point_id"":5938}]",i2i Cable Network (i2icn),#bd75b1,"<MultiGeometry><LineString><coordinates>103.646094561478,1.33858304034115,0 103.50683684763,1.23128590101821,0</coordinates></LineString><LineString><coordinates>103.50683684763,1.23128590101821,0 103.03974733477,1.39784343893264,0 90.7741310238479,11.0393832853629,0 82.883316301275,11.7580231210991,0 80.2429861404597,13.0638540151191,0</coordinates></LineString></MultiGeometry>","3,200 km",April 2002,Airtel (Bharti),http://www.airtel.in,
imewe,1536,"[{""latlon"":""31.191889,29.889787"",""name"":""Alexandria, Egypt"",""landing_point_id"":6044},{""latlon"":""37.511588,15.067443"",""name"":""Catania, Italy"",""landing_point_id"":3214},{""latlon"":""25.121690,56.333720"",""name"":""Fujairah, United Arab Emirates"",""landing_point_id"":5962},{""latlon"":""21.481262,39.182751"",""name"":""Jeddah, Saudi Arabia"",""landing_point_id"":4361},{""latlon"":""24.889378,67.028539"",""name"":""Karachi, Pakistan"",""landing_point_id"":3259},{""latlon"":""43.293165,5.372623"",""name"":""Marseille, France"",""landing_point_id"":3210},{""latlon"":""19.075794,72.875899"",""name"":""Mumbai, India"",""landing_point_id"":3212},{""latlon"":""29.972285,32.530118"",""name"":""Suez, Egypt"",""landing_point_id"":5825},{""latlon"":""34.439422,35.859120"",""name"":""Tripoli, Lebanon"",""landing_point_id"":8663}]",IMEWE,#565da6,"<MultiGeometry><LineString><coordinates>32.5299340033335,29.9725421875593,0 32.099660870643,30.6501042546255,0 30.7990758544896,31.2490931317751,0 29.8935100897509,31.1914686865294,0</coordinates></LineString><LineString><coordinates>28.5892141387264,32.3624838169779,0 29.8935100897509,31.1914686865294,0 30.7481969842827,31.1673227964572,0 32.0487820004361,30.567652124035,0 32.5299340033335,29.9725421875593,0</coordinates></LineString><LineString><coordinates>38.3642072140296,21.8034076492398,0 39.1827613216582,21.4815315853539,0</coordinates></LineString><LineString><coordinates>56.3337257342541,25.121693117297,0 62.1627255111859,23.8148459052998,0 64.3351849096953,16.1898449135623,0</coordinates></LineString><LineString><coordinates>67.0285423766957,24.8897284412775,0 67.8073504187307,17.0859315634228,0</coordinates></LineString><LineString><coordinates>35.85922851983,34.4397423312698,0 32.2955591693668,32.8156838006567,0 28.5892141387264,32.3624838169779,0</coordinates></LineString><LineString><coordinates>15.0674463739235,37.5134482293683,0 16.6923475665783,35.1212724529257,0</coordinates></LineString><LineString><coordinates>5.37253136689231,43.2936266517659,0 8.35485347293732,37.4269506948131,0 11.3994802223452,37.4197380496245,0 13.6359044192913,35.5778355449056,0 16.6923475665783,35.1212724529257,0 17.4804329457912,34.0940013660978,0 28.3239799516208,32.5989142808379,0 28.5892141387264,32.3624838169779,0</coordinates></LineString><LineString><coordinates>32.5299340033335,29.9725421875593,0 32.8921407779928,28.9731718367457,0 33.8829603885869,27.8148197977163,0 34.9906744476219,27.080964694389,0 38.3642072140296,21.8034076492398,0 42.1428178184764,15.6607685412326,0 42.7040478896458,13.9526196414788,0 43.6819768843717,12.2951845186974,0 44.0976015899392,12.3049167998155,0 44.4683044523298,11.6755018933932,0 45.8116628756821,11.3442154681768,0 64.3351849096953,16.1898449135623,0</coordinates></LineString><LineString><coordinates>64.3351849096953,16.1898449135623,0 67.8073504187307,17.0859315634228,0</coordinates></LineString></MultiGeometry>","12,091 km",December 2010,"Telecom Italia Sparkle,  Etisalat,  Tata Communications,  Pakistan Telecommunications Company Ltd.,  Orange,  Airtel (Bharti),  Saudi Telecom,  Ogero,  Telecom Egypt",http://imewecable.com,
imewe,1536,"[{""latlon"":""31.191889,29.889787"",""name"":""Alexandria, Egypt"",""landing_point_id"":6044},{""latlon"":""37.511588,15.067443"",""name"":""Catania, Italy"",""landing_point_id"":3214},{""latlon"":""25.121690,56.333720"",""name"":""Fujairah, United Arab Emirates"",""landing_point_id"":5962},{""latlon"":""21.481262,39.182751"",""name"":""Jeddah, Saudi Arabia"",""landing_point_id"":4361},{""latlon"":""24.889378,67.028539"",""name"":""Karachi, Pakistan"",""landing_point_id"":3259},{""latlon"":""43.293165,5.372623"",""name"":""Marseille, France"",""landing_point_id"":3210},{""latlon"":""19.075794,72.875899"",""name"":""Mumbai, India"",""landing_point_id"":3212},{""latlon"":""29.972285,32.530118"",""name"":""Suez, Egypt"",""landing_point_id"":5825},{""latlon"":""34.439422,35.859120"",""name"":""Tripoli, Lebanon"",""landing_point_id"":8663}]",IMEWE,#565da6,"<MultiGeometry><LineString><coordinates>67.8073504187307,17.0859315634228,0 70.5427000434834,17.7889747015447,0 72.5782454764839,18.8877809205438,0 72.8759015156215,19.0760738142769,0</coordinates></LineString></MultiGeometry>","12,091 km",December 2010,"Telecom Italia Sparkle,  Etisalat,  Tata Communications,  Pakistan Telecommunications Company Ltd.,  Orange,  Airtel (Bharti),  Saudi Telecom,  Ogero,  Telecom Egypt",http://imewecable.com,
ingrid,1700,"[{""latlon"":""49.225279,-2.021306"",""name"":""Archirondel, Jersey"",""landing_point_id"":10377},{""latlon"":""49.247948,-2.201433"",""name"":""Greve de Lecq, Jersey"",""landing_point_id"":10375},{""latlon"":""49.450987,-2.529509"",""name"":""Havelet Bay, Guernsey"",""landing_point_id"":10376},{""latlon"":""49.283287,-1.650017"",""name"":""Surville, France"",""landing_point_id"":10378}]",INGRID,#bd75b1,"<MultiGeometry><LineString><coordinates>-2.02131105149037,49.2252788508868,0 -1.65002225201482,49.2832826938806,0</coordinates></LineString><LineString><coordinates>-2.52941616029395,49.4510450471943,0 -2.20138904892142,49.2656019319198,0 -2.20138904892142,49.2480423293969,0</coordinates></LineString></MultiGeometry>",64 km,October 2004,n.a.,,
interchange-cable-network-1-icn1,1682,"[{""latlon"":""-17.730329,168.322802"",""name"":""Port Vila, Vanuatu"",""landing_point_id"":9086},{""latlon"":""-18.123810,178.437446"",""name"":""Suva, Fiji"",""landing_point_id"":4268}]",Interchange Cable Network 1 (ICN1),#b2703f,"<MultiGeometry><LineString><coordinates>168.32300186875,-17.730504707427,0 178.426705648692,-18.1515606039927,0</coordinates></LineString></MultiGeometry>","1,238 km",January 2014,Interchange,http://www.interchange.vu,
ip-only-denmark-sweden,1765,"[{""latlon"":""55.647249,12.414905"",""name"":""Brondby, Denmark"",""landing_point_id"":11045},{""latlon"":""55.533296,12.916663"",""name"":""Klagshamn, Sweden"",""landing_point_id"":14586}]",IP-Only Denmark-Sweden,#91a34b,"<MultiGeometry><LineString><coordinates>12.4150068466866,55.6475555844956,0 12.4679364966907,55.5237032295761,0 12.9166666475561,55.5335694312223,0</coordinates></LineString></MultiGeometry>",n.a.,1994,IP-Only,,
italy-albania,1296,"[{""latlon"":""41.125490,16.866661"",""name"":""Bari, Italy"",""landing_point_id"":3160},{""latlon"":""41.316689,19.450058"",""name"":""Durres, Albania"",""landing_point_id"":6025}]",Italy-Albania,#0982c5,"<MultiGeometry><LineString><coordinates>16.868812285319,41.1257125894655,0 18.1468387237031,41.3169132141285,0 19.4500604567386,41.3169132141285,0</coordinates></LineString></MultiGeometry>",240 km,1997,"Telecom Italia Sparkle,  Albania Telecom",,
italy-croatia,1286,"[{""latlon"":""45.495874,12.244105"",""name"":""Mestre, Italy"",""landing_point_id"":6016},{""latlon"":""45.433106,13.520178"",""name"":""Umag, Croatia"",""landing_point_id"":6017}]",Italy-Croatia,#f04230,"<MultiGeometry><LineString><coordinates>12.2442061864334,45.4960782334336,0 12.3319990929901,45.4332719478264,0 13.5202795012011,45.4332719478264,0</coordinates></LineString></MultiGeometry>",230 km,1994,"Telecom Italia Sparkle,  T-Hrvatski Telekom",,
italy-greece-1,1299,"[{""latlon"":""39.619302,19.919492"",""name"":""Corfu, Greece"",""landing_point_id"":6024},{""latlon"":""40.148050,18.485703"",""name"":""Otranto, Italy"",""landing_point_id"":6027}]",Italy-Greece 1,#0982c5,"<MultiGeometry><LineString><coordinates>18.4857056711466,40.1482027062611,0 18.4857056711466,39.6195333476856,0 19.9195913741185,39.6195333476856,0</coordinates></LineString></MultiGeometry>",161 km,1995,WIS Telecom,,
italy-libya,1287,"[{""latlon"":""37.650126,12.591272"",""name"":""Mazara del Vallo, Italy"",""landing_point_id"":3215},{""latlon"":""32.877301,13.187268"",""name"":""Tripoli, Libya"",""landing_point_id"":4271}]",Italy-Libya,#76266a,"<MultiGeometry><LineString><coordinates>12.5913739092465,37.6505844408328,0 13.1873695807876,32.8776265774575,0</coordinates></LineString></MultiGeometry>",570 km,1998,"Telecom Italia Sparkle,  Libya International Telecommunications Company",,
italy-malta,1301,"[{""latlon"":""37.511588,15.067443"",""name"":""Catania, Italy"",""landing_point_id"":3214},{""latlon"":""35.898711,14.488146"",""name"":""Msida, Malta"",""landing_point_id"":4058}]",Italy-Malta,#4fc1af,"<MultiGeometry><LineString><coordinates>15.0674463739235,37.5134482293683,0 15.5596335252536,37.0695981925742,0 15.0501612299185,36.2823888549395,0 14.4880522531218,35.8919035930509,0</coordinates></LineString></MultiGeometry>",238 km,1995,"Telecom Italia Sparkle,  GO plc",,
italy-monaco,1302,"[{""latlon"":""43.739735,7.427212"",""name"":""Monte Carlo, Monaco"",""landing_point_id"":6028},{""latlon"":""44.305543,8.483755"",""name"":""Savona, Italy"",""landing_point_id"":5880}]",Italy-Monaco,#b2703f,"<MultiGeometry><LineString><coordinates>7.42672913042934,43.7382580022099,0 8.1828809385143,43.7382580022099,0 8.48375963161902,44.305749795966,0</coordinates></LineString></MultiGeometry>",162 km,1995,"Telecom Italia Sparkle,  Monaco Telecom",,
jaka2ladema,1767,"[{""latlon"":""-8.464415,115.596973"",""name"":""Bali, Indonesia"",""landing_point_id"":9597},{""latlon"":""-3.327967,114.604005"",""name"":""Banjarmasin, Indonesia"",""landing_point_id"":7803},{""latlon"":""-8.615636,114.097071"",""name"":""Beculuk, Indonesia"",""landing_point_id"":14611},{""latlon"":""-8.784093,115.159864"",""name"":""Jimbaran, Indonesia"",""landing_point_id"":14612},{""latlon"":""-1.859120,109.971878"",""name"":""Ketapang, Indonesia"",""landing_point_id"":14607},{""latlon"":""-8.586388,116.081543"",""name"":""Mataram, Indonesia"",""landing_point_id"":14613},{""latlon"":""-2.849672,111.752932"",""name"":""Pankalan, Indonesia"",""landing_point_id"":14608},{""latlon"":""-0.027407,109.335648"",""name"":""Pontianak, Indonesia"",""landing_point_id"":8360},{""latlon"":""0.326889,117.550976"",""name"":""Sangata, Indonesia"",""landing_point_id"":14609},{""latlon"":""-1.142470,119.388377"",""name"":""Toweli, Indonesia"",""landing_point_id"":14610}]",JaKa2LaDeMa,#f04230,"<MultiGeometry><LineString><coordinates>117.551065179816,0.327277982226391,0 119.388466221934,-1.14207715405312,0</coordinates></LineString><LineString><coordinates>111.092964286046,-3.5127024147843,0 113.1348573708,-4.11702121933914,0 114.603996955047,-3.32758370884411,0</coordinates></LineString><LineString><coordinates>109.971968986419,-1.85872070717188,0 109.339547559433,-2.17883375655971,0</coordinates></LineString><LineString><coordinates>109.335543656019,-0.0270168610419699,0 108.769040151085,-0.51880629894581,0 108.967086885787,-1.41993691058558,0 109.339547559433,-2.17883375655971,0 109.937203386048,-3.39543546272888,0 111.092964286046,-3.5127024147843,0 111.752924756024,-2.84927725809005,0</coordinates></LineString><LineString><coordinates>114.097161376594,-8.61516342787521,0 114.539153250983,-8.97783806021001,0 115.159855936272,-8.78370942884625,0</coordinates></LineString><LineString><coordinates>116.081534970845,-8.58600290516881,0 115.596965001619,-8.46392933192117,0</coordinates></LineString></MultiGeometry>","1,700 km",2010,Telkom Indonesia,,
jakabare,1597,"[{""latlon"":""1.389047,103.987017"",""name"":""Changi North, Singapore"",""landing_point_id"":5940},{""latlon"":""-0.067056,109.183206"",""name"":""Sungai Kakap, Indonesia"",""landing_point_id"":9094},{""latlon"":""1.173202,104.133111"",""name"":""Tanjung Bemban, Indonesia"",""landing_point_id"":9096},{""latlon"":""-5.981457,107.120903"",""name"":""Tanjung Pakis, Indonesia"",""landing_point_id"":9095}]",JAKABARE,#0964b0,"<MultiGeometry><LineString><coordinates>104.929492089807,1.41278034048837,0 104.326269860886,1.1958446593014,0</coordinates></LineString><LineString><coordinates>104.326269860886,1.1958446593014,0 104.133203591406,1.1736814455154,0</coordinates></LineString><LineString><coordinates>107.120994443576,-1.13758585862917,0 107.120994443576,-5.98115876684277,0</coordinates></LineString><LineString><coordinates>103.987012288719,1.38944749170165,0 104.201562917979,1.32882006785884,0</coordinates></LineString><LineString><coordinates>104.201562917979,1.32882006785884,0 104.391308877311,1.37597486292812,0</coordinates></LineString><LineString><coordinates>104.391308877311,1.37597486292812,0 104.929492089807,1.41278034048837,0</coordinates></LineString><LineString><coordinates>104.929492089807,1.41278034048837,0 105.773143835906,1.47067212074182,0 107.120994443576,-1.13758585862917,0 109.182223452132,-0.0613918259443783,0</coordinates></LineString></MultiGeometry>","1,330 km",November 2009,PT Indonesia Satellite Corp.,http://www.indosat.com,
janna,1729,"[{""latlon"":""39.215311,9.109340"",""name"":""Cagliari, Italy"",""landing_point_id"":3162},{""latlon"":""42.091127,11.796839"",""name"":""Civitavecchia, Italy"",""landing_point_id"":7751},{""latlon"":""37.650126,12.591272"",""name"":""Mazara del Vallo, Italy"",""landing_point_id"":3215},{""latlon"":""40.922512,9.486879"",""name"":""Olbia, Italy"",""landing_point_id"":8592}]",Janna,#0982c5,"<MultiGeometry><LineString><coordinates>9.1094427821292,39.2156124492231,0 9.32545825410179,38.8787212398008,0 11.6191089730081,37.822189197302,0 12.5913739092465,37.6505844408328,0</coordinates></LineString><LineString><coordinates>9.48688392099634,40.922738342321,0 11.7968432220995,42.0914114676892,0</coordinates></LineString></MultiGeometry>",634 km,April 2005,"Regione Sardegne,  Interoute,  Wind Italy,  Tiscali",,
